slice,phase_gradient_mean,phase_gradient_std,hermitian_error_mean,hermitian_error_std,mean_coherence,phase_entropy,phase_quadrant_variance
1,1.5747402143268099,0.9225445736225708,1.5028850272461445,0.9179395973538781,0.028460176638122957,27.005938943278263,4.651254245495408e-06
2,1.5381087563873304,0.9235031147757149,1.5588371418991396,0.9177203570396166,0.027504604473526845,27.006317301318447,6.46006587347839e-06
3,1.5014442477726855,0.927452906020017,1.5834700038631433,0.9204556285496333,0.030867952190309356,27.006258942619755,8.872607564883604e-06
4,1.6565311136470426,0.9193040875326062,1.4766478140541754,0.897506595883105,0.028158488051252786,27.006312780594477,3.5178540710401855e-06
5,1.5366591368684044,0.9130181623423332,1.5664975463151694,0.9061594480660699,0.034306655696964915,27.00657233302583,9.400766807866884e-06
6,1.4358376958197345,0.9059764020602299,1.6096967562883122,0.899873129970156,0.03169286025461338,27.005530693344383,1.4905168911608164e-05
7,1.4722597609229104,0.9043810618893287,1.615246542799813,0.9035999905234072,0.03287669624933746,27.006426024337834,1.4467002431821548e-05
8,1.4838927079409525,0.8985241553931813,1.6175133944618536,0.9019862601850185,0.03322701543180686,27.005989844358886,4.627066858993112e-06
9,1.4620949932764111,0.8885610699938113,1.6096426959176906,0.8993353346173378,0.03293278825918256,27.006153152808864,1.6915159285665837e-05
10,1.4937151312450063,0.8533181822446425,1.6877451991219476,0.8723330281285272,0.032395839071294265,27.00593333125336,4.310092773598778e-06
11,1.4540599568511894,0.8555372862274093,1.6849208973926681,0.8822138975603142,0.032643423901480464,27.006268625895522,1.2221240299609841e-05
12,1.4580699549289369,0.8401768131002163,1.7559035048726264,0.858177196092143,0.030401531687816296,27.007051250125073,1.6943475041781065e-05
13,1.4609156696155134,0.8716176596101306,1.7724162855202628,0.8979195061594959,0.034027867159708416,27.00638830262701,7.891355631871636e-06
14,1.4711236767833071,0.8709908698497004,1.7799794308391388,0.879489124606858,0.031096544728037672,27.007024311867546,4.252233544579281e-06
15,1.500263892584058,0.8494374370874271,1.8974757018332506,0.8289738763391943,0.032709985772380636,27.006031847261113,1.1380615718543101e-05
16,1.4732078285905152,0.8659730610975085,1.7883274929018707,0.869784682186384,0.02960075252516604,27.00611627868014,1.0368843064080606e-05
17,1.4530753536088306,0.8827324335852214,1.7684896365339688,0.8884348216524627,0.03040738372116511,27.006601508561573,4.080023844845069e-06
18,1.5316551441140929,0.8965748093396415,1.6713655948866055,0.892995670552649,0.03308374708205173,27.005832474526002,2.1387187242258923e-05
19,1.4940443290563223,0.8999745399183965,1.6100038086931172,0.9006934256297277,0.03357160860031606,27.00580190479026,1.3282367047945856e-05
20,1.442844143380846,0.8976502919825851,1.6135260838957346,0.9081664334765094,0.032755626949811475,27.005720438094045,5.796218462383055e-06
21,1.4331693473281375,0.9007896458379221,1.5445792052686445,0.9099490998092423,0.03442417812520472,27.006557458676987,3.2657765524291274e-06
22,1.4796143704623017,0.908774398614569,1.5579795285690605,0.9145663848545762,0.03381137445621537,27.006856795592345,3.6284321783769486e-06
23,1.4763425153393706,0.9098355247336569,1.5476469422497212,0.91413622767187,0.0317704409279924,27.00634395191822,1.3789982813618184e-05
24,1.480129571282772,0.9215071480643543,1.5450828615453547,0.9208943312833738,0.030755369488858313,27.005769248834934,3.773775405029312e-05
25,1.5257623475617519,0.9271057171909696,1.536377172043915,0.9173745597493816,0.030826902178243316,27.005133491808216,1.2350839142429522e-05
26,1.531037355032942,0.9279432732537901,1.5477297450184475,0.9204795534343869,0.03151761877948492,27.005934166963776,3.0865253905235477e-06
