slice,mean,std,skewness,kurtosis,energy,entropy,center_ratio,lr_asymmetry,tb_asymmetry,angular_uniformity
1,38094.44167822883,16805571.070383333,511.9841023517611,262130.14370503294,7.403698131781339e+19,31.05971305332651,0.9999999998230679,1.981835607407399,1.936405835420474,-4.916015390243893
2,38825.49643457448,16813948.848110113,511.9829878310808,262129.38199033774,7.411083071613492e+19,31.113784492407547,0.9999999997802795,1.9823880247081713,1.9391953257424606,-4.916011091830813
3,39419.95973232288,16834564.72279182,511.97183722844574,262121.76161674017,7.42926905086029e+19,31.71317817140129,0.9999999997510587,1.9834664727792,1.942429103968183,-4.915961392187659
4,39895.940260045405,16836434.386506096,511.9754068471426,262124.20278917457,7.430920327323296e+19,30.86611454285284,0.9999999997242692,1.9810678789593736,1.9422821263907568,-4.915975446649418
5,40228.48239038281,16843158.02906425,511.9758285177586,262124.49199493063,7.43685726464448e+19,31.106006992966158,0.9999999996827258,1.983523106386938,1.946747721485089,-4.915978036517099
6,41006.953841566174,16849652.76289074,511.9742676119865,262123.42586993758,7.4425953104758e+19,31.55711924514658,0.9999999995731016,1.9846041141452095,1.9481315155425094,-4.915971146106888
7,42061.0230125089,16856977.80257604,511.97145282738995,262121.5031651893,7.449070004239021e+19,31.35412033864392,0.9999999993959974,1.984477741651405,1.949203066704714,-4.915960533598985
8,42973.945641068894,16859754.45102452,511.96886848741104,262119.73833132486,7.45152621861523e+19,31.22702659608344,0.9999999992418411,1.982288697203452,1.949232610081988,-4.915946857585185
9,43708.26797359518,16861270.1535013,511.9694410765833,262120.13035389496,7.45286773249259e+19,30.804423860011923,0.9999999990729097,1.980348602647018,1.9504010124209397,-4.915951572891794
10,44842.297797617946,16858419.69209297,511.9697816646147,262120.36360514292,7.450350723961194e+19,31.324094633506476,0.9999999986646507,1.9689282548710092,1.9477222046195029,-4.915956843818454
11,45223.67685829334,16858574.112573948,511.9704008554424,262120.78680723775,7.450488112155124e+19,31.34738180825377,0.9999999984469096,1.9720394548786198,1.9495036282868898,-4.915961254350662
12,45269.4066877772,16854418.287686855,511.97086140828685,262121.10169601193,7.446815444447925e+19,32.2167761578399,0.9999999984073396,1.9626103207694356,1.948589980150757,-4.915961324056431
13,45101.20960991011,16854338.911223654,511.9692852832808,262120.02458000684,7.446744904590846e+19,30.110512188651345,0.9999999984330258,1.9672473141596083,1.947057729005675,-4.915961823308605
14,44999.606018284176,16854292.584576458,511.9693168840035,262120.04588913734,7.44670372799581e+19,32.034449583215746,0.9999999983759796,1.9638318323574153,1.9482326095864504,-4.91596410981201
15,45004.86772287582,16856152.166792642,511.9708612702457,262121.1011237895,7.448347051509334e+19,30.76071101220306,0.9999999985595552,1.9608310360352743,1.94927942271115,-4.915970114108716
16,44355.50084526494,16853763.870662026,511.9722320104012,262122.0373245223,7.446235028350258e+19,31.524401869168578,0.9999999988412193,1.9748136239175322,1.9499229645558764,-4.915972801251296
17,44149.44245917407,16857599.226842016,511.9709226656478,262121.14312471016,7.449623943344136e+19,31.282294733258887,0.9999999989746866,1.982156296216132,1.9503360258723594,-4.9159632890429315
18,43362.74931721231,16854526.00756253,511.9719068285381,262121.81518097184,7.44690620216456e+19,31.596868439490258,0.9999999992381905,1.982382204213645,1.9492338941170098,-4.9159635771529695
19,43361.15906662984,16855154.587158445,511.97096822340467,262121.17399746773,7.447461661170044e+19,31.828340093270207,0.999999999230951,1.983130181202886,1.9501942493823734,-4.915957071912317
20,42685.65739389703,16850169.744563583,511.9747060597541,262123.72692565116,7.443055705743768e+19,32.32978240465111,0.9999999992861918,1.9850678743046253,1.9499969171589777,-4.91597084577223
21,42185.19162355616,16850745.18986548,511.97401205164726,262123.25262784594,7.443562969017008e+19,31.358162962819016,0.9999999994150729,1.9848984159933825,1.9483527170491417,-4.91596656680365
22,41156.30026847378,16841105.580737483,511.9777548222835,262125.80932512748,7.435046906038824e+19,31.756156955721057,0.9999999995562976,1.9834825816832424,1.9482120435508619,-4.915983313640181
23,40259.77817397186,16837610.98095981,511.97765161886286,262125.73850055577,7.431959724579276e+19,31.247583908911015,0.9999999996923573,1.9831474467171253,1.9466349812326804,-4.915982305355142
24,39755.48064076081,16828798.700389486,511.980033309426,262127.36444990608,7.424181435012799e+19,31.871173023289394,0.9999999997106279,1.9833525313912281,1.9443651429190325,-4.915995674943531
25,39719.95785071795,16829157.47464294,511.97518301882974,262124.04911983345,7.42449791582554e+19,31.745413483152873,0.9999999997357574,1.982740808722133,1.9420653718043914,-4.91597711542008
26,38485.27126005182,16817379.99479387,511.9800726768429,262127.38983526872,7.414107367155877e+19,31.256261069307264,0.9999999997817006,1.9824432362723299,1.9404208388152322,-4.916000602201495
