slice,mean,std,skewness,kurtosis,energy,entropy,center_ratio,lr_asymmetry,tb_asymmetry,angular_uniformity
1,37046.65298775018,8405426.576950418,255.9896341587128,65529.46122577658,4.63028672233485e+18,27.65393730874261,0.9999999994809876,1.9275328460004186,1.9183064014107996,-4.91603454779959
2,37977.822280782864,8409183.820504032,255.98906252333305,65529.26609069064,4.634431641486098e+18,28.205994678734175,0.9999999991543146,1.927841731862605,1.9164187260321215,-4.9160236326091
3,39188.62844729455,8413695.455938159,255.9879041639019,65528.870681473614,4.639411861839806e+18,30.10169560045096,0.9999999982439619,1.9254677829177655,1.912544280220632,-4.916009215773366
4,40108.576553511746,8414708.514618011,255.98796321959676,65528.891016871625,4.640533910906338e+18,29.924564560345623,0.9999999966715457,1.924284425894856,1.9137012275540264,-4.916008615418051
5,41234.406472904724,8420075.270557255,255.9863688068623,65528.34660043456,4.646460970639491e+18,31.560684372000445,0.9999999947765537,1.9154712394113895,1.909262457224216,-4.915991236167152
6,42747.0374028513,8422124.96946479,255.9853038743213,65527.98305411155,4.648731692924209e+18,31.75721172749407,0.9999999910153958,1.9093911629363056,1.9037172060778929,-4.9159778684345055
7,44027.25337192248,8424419.25885996,255.98403941536543,65527.55132216518,4.651271995266828e+18,33.600874011964514,0.9999999877007681,1.9036451738023814,1.8946335277104045,-4.91596319113306
8,44955.785980793386,8422837.247687552,255.98452400399108,65527.716884968395,4.649530708703708e+18,34.03733373837238,0.9999999839984884,1.893937640164794,1.8879379145728485,-4.915966421778848
9,45504.342287940286,8425528.03750554,255.98410898286724,65527.57519958399,4.652505062176127e+18,32.94836649715248,0.9999999819978587,1.8823694358615257,1.8889348168501834,-4.915959583968845
10,45061.54557931001,8421525.123674097,255.98562393347683,65528.09249079077,4.648082863001699e+18,34.21356058440304,0.9999999827582441,1.8795883289497801,1.8846032550684197,-4.9159786867420205
11,45316.86325472324,8421323.693513494,255.9858185491768,65528.15898040876,4.64786203404055e+18,35.0707510913993,0.999999981834038,1.8735625401369642,1.8796960696349045,-4.915980394397274
12,44758.82851421171,8418421.3427758,255.9864646683862,65528.379632140444,4.644655677914021e+18,32.87965579115332,0.9999999847618546,1.8693849522969963,1.8764348993488662,-4.915985529558239
13,45233.930353485455,8422921.43575142,255.98540546551902,65528.01789969794,4.649625296653256e+18,34.16603177872126,0.9999999831090838,1.882273333421732,1.8768255630572175,-4.915975802959784
14,44988.40579388532,8422888.260534694,255.98519584616147,65527.94632360051,4.649587219241961e+18,34.478055577517196,0.9999999840203616,1.884471988657486,1.8840870304444073,-4.915971634255749
15,45526.62409644561,8425109.80105318,255.9831276603391,65527.240135495274,4.652043326803412e+18,34.43423689001762,0.9999999824334624,1.889664730599516,1.8834894447300305,-4.915949549929966
16,44422.95749622395,8423686.22738088,255.9834480430927,65527.34947566539,4.650464906872029e+18,34.850214726620294,0.9999999858108064,1.8996605462191798,1.890703334573836,-4.915953792685374
17,43652.39023236062,8425719.617056696,255.98248095310697,65527.019175844085,4.65270581470344e+18,32.962118342554234,0.9999999884196682,1.9105369853065737,1.9028979578998864,-4.915943715692982
18,42123.45803066577,8419661.610775257,255.98541462520103,65528.02091641546,4.6460093088189e+18,32.53920132883386,0.9999999921902335,1.9118484315466886,1.906178408478648,-4.915978085580395
19,40863.414998274304,8418171.8526516,255.98590814748863,65528.18936588393,4.644358531282434e+18,31.371269363874184,0.9999999954381465,1.9236680396789199,1.912461615253489,-4.915984662308766
20,39673.78439883522,8412992.260358823,255.98785878452782,65528.85535507599,4.638638917682856e+18,29.538884248018793,0.9999999971426624,1.9273241245348318,1.915468050607358,-4.916007234440691
21,38708.62610426155,8411142.525830194,255.98765746172603,65528.78641666505,4.63659446747555e+18,28.351787272593455,0.9999999985772393,1.929836887445892,1.9189307308181165,-4.91600609718078
22,37519.95207977063,8405347.395561583,255.98959620412367,65529.44841757402,4.630201800253637e+18,26.479526544655016,0.999999999444884,1.9309689668968641,1.919091454621386,-4.916028607017241
