slice,phase_gradient_mean,phase_gradient_std,hermitian_error_mean,hermitian_error_std,mean_coherence,phase_entropy,phase_quadrant_variance
1,1.8244885376773519,0.9058649797872477,1.328495079268851,0.8912193322334399,0.029311613417015464,27.005830469709938,5.037632835312052e-06
2,1.7843659642840073,0.9157224948600011,1.3654747069460131,0.8936961740329948,0.028142231196508133,27.0065427693544,3.6652234887411203e-07
3,1.8134376561152143,0.895420732345243,1.3786781410928548,0.8858069742193443,0.027817704370628738,27.006145571166684,3.618410029162441e-07
4,1.8534540248270968,0.8914440351365921,1.3002144265477606,0.8811703074114993,0.030576587099379573,27.00590982528354,3.2823116596555924e-06
5,1.791640945072761,0.9109936332410773,1.3985535045360877,0.8989016892533628,0.029578178436046914,27.00557282393075,2.301830396121675e-06
6,1.763520728049859,0.910713804775256,1.419847851858211,0.8941653175024619,0.02912588552789251,27.006231997670383,1.0402525772656407e-07
7,1.7039842070757811,0.9165564616624242,1.4985994415805517,0.9057486858469247,0.03094456943296725,27.006058883229677,5.244198874390082e-07
8,1.6607982155430538,0.9121361483762428,1.566998562808049,0.9026367471665038,0.03396532628035148,27.00666510375385,7.693671085385816e-06
9,1.6488293366360456,0.9070759304060338,1.5991152470747894,0.9203287349137875,0.029504275502921774,27.004995943908135,2.3122633402081794e-06
10,1.6662809525387758,0.8806265208264915,1.644813640677822,0.9288709970843907,0.02832915803055623,27.005971149625093,3.8634273141044687e-07
11,1.692126584043819,0.8432516454694478,1.6697368585433892,0.9401331965377893,0.029544310218551584,27.006060330173863,2.607688318742855e-06
12,1.7045891291115303,0.7950337376615663,1.6672299815535254,0.9572766074619172,0.03332893171277134,27.005624177691537,9.17199986620156e-07
13,1.7252171885720857,0.7843746002200325,1.680180286906618,0.9530607922938034,0.033901367001012005,27.006950598517662,4.382563003452319e-06
14,1.7420134144223707,0.7851957434658244,1.7514352678615839,0.9402142827898421,0.031086720991169815,27.006419553666113,4.375794449201124e-07
15,1.7297116574511886,0.7956840287677033,1.763811945881612,0.9464275520136288,0.03110861633794018,27.00656813696415,7.908647992687162e-06
16,1.7210152031575545,0.8197899079089315,1.6541169393648516,0.9565292357364107,0.03397050230095261,27.005912743527094,8.176870615730874e-06
17,1.7206482325933532,0.8163729244179061,1.6343015885237897,0.9567708251246704,0.03380891410643003,27.006380562610516,5.531421146548487e-07
18,1.7314936451028637,0.8393662587165502,1.6681526446586057,0.9507228427616234,0.03261049418334269,27.006184670283204,2.690455513436191e-06
19,1.7475609166827084,0.8561146923471609,1.6818378700544518,0.9532868222381338,0.03360074192806818,27.005689869777964,3.484949480192845e-06
20,1.7463723828027375,0.8449803838800684,1.6533850453798138,0.9334527820080866,0.035012979954543666,27.00612206105863,5.196194486229937e-06
21,1.736251169490725,0.852253236236119,1.6844643562081834,0.9249635208707713,0.03148502168740336,27.0052113671871,1.6938564694643637e-06
22,1.688942796326388,0.909877723785058,1.660692504504765,0.9274608477042203,0.03164741902388005,27.005906293984726,1.847966806564768e-05
23,1.5954425615476284,0.9213509783088341,1.6184570231154947,0.9146059183345133,0.030825597243779833,27.0058881576681,2.0377286190812946e-06
24,1.6099867806678696,0.9219869003922734,1.5992864993366236,0.9100853688877061,0.028953003606926635,27.005494583489888,2.510674432918815e-06
25,1.6837728070988742,0.9225024938212092,1.6001715337708613,0.9046159649101698,0.032921212932253544,27.004461629565533,1.743248763984396e-05
26,1.7161829247785247,0.9262337732089956,1.4838457078679808,0.9186907737629009,0.031595593216220526,27.005302509972655,6.33671540036609e-06
27,1.6941926816241293,0.9297081036805624,1.5200009465531674,0.9271606076155483,0.03492975598278457,27.006163520551475,5.024557897166126e-06
28,1.5983331980108124,0.9356988613647297,1.5388707218895916,0.9216509828472906,0.031106018457561373,27.006668930092687,5.633053437509272e-06
